kind,name,header,declaration
function,vmmin,src/include/R_ext/Applic.h,"void vmmin(int n, double *b, double *Fmin, optimfn fn, optimgr gr, int maxit, int trace, int *mask, double abstol, double reltol, int nREPORT, void *ex, int *fncount, int *grcount, int *fail);"
function,R_IsNA,src/include/R_ext/Arith.h,int R_IsNA(double);
function,R_IsNaN,src/include/R_ext/Arith.h,int R_IsNaN(double);
function,R_finite,src/include/R_ext/Arith.h,int R_finite(double);
function,R_isnancpp,src/include/R_ext/Arith.h,int R_isnancpp(double);
variable,R_NaInt,src/include/R_ext/Arith.h,LibExtern int	 R_NaInt;
variable,R_NaN,src/include/R_ext/Arith.h,"extern ""C"" { #else # include <math.h> #endif LibExtern double R_NaN;"
variable,R_NaReal,src/include/R_ext/Arith.h,LibExtern double R_NaReal;
variable,R_NegInf,src/include/R_ext/Arith.h,LibExtern double R_NegInf;
variable,R_PosInf,src/include/R_ext/Arith.h,LibExtern double R_PosInf;
function,F77_NAME,src/include/R_ext/BLAS.h,"BLAS_extern void F77_NAME(zspmv)(const char *uplo, const BLAS_INT *n, const BLAS_complex *alpha, const BLAS_complex *ap, const BLAS_complex *x, const BLAS_INT *incx, const BLAS_complex *beta, BLAS_complex *y, const BLAS_INT *incy FCLEN);"
function,Rf_addTaskCallback,src/include/R_ext/Callbacks.h,"R_ToplevelCallbackEl* Rf_addTaskCallback(R_ToplevelCallback cb, void *data, void (*finalizer)(void *), const char *name, int *pos);"
function,Rf_removeTaskCallbackByIndex,src/include/R_ext/Callbacks.h,"extern ""C"" { #endif Rboolean Rf_removeTaskCallbackByIndex(int id);"
function,Rf_removeTaskCallbackByName,src/include/R_ext/Callbacks.h,Rboolean Rf_removeTaskCallbackByName(const char *name);
function,void,src/include/R_ext/Callbacks.h,void (*finalizer)(void *data);
variable,r,src/include/R_ext/Complex.h,"extern ""C"" { #endif # ifdef R_LEGACY_RCOMPLEX typedef struct { double r;"
function,R_GetConnection,src/include/R_ext/Connections.h,Rconnection R_GetConnection(SEXP sConn);
function,R_ReadConnection,src/include/R_ext/Connections.h,"size_t R_ReadConnection(Rconnection con, void *buf, size_t n);"
function,R_WriteConnection,src/include/R_ext/Connections.h,"size_t R_WriteConnection(Rconnection con, void *buf, size_t n);"
function,R_new_custom_connection,src/include/R_ext/Connections.h,"extern ""C"" { #endif SEXP   R_new_custom_connection(const char *description, const char *mode, const char *class_name, Rconnection *ptr);"
function,Rboolean,src/include/R_ext/Connections.h,Rboolean (*open)(struct Rconn *);
function,double,src/include/R_ext/Connections.h,"double (*seek)(struct Rconn *, double, int, int);"
function,int,src/include/R_ext/Connections.h,int (*fflush)(struct Rconn *);
function,size_t,src/include/R_ext/Connections.h,"size_t (*write)(const void *, size_t, size_t, struct Rconn *);"
function,void,src/include/R_ext/Connections.h,void (*truncate)(struct Rconn *);
function,R_ShowMessage,src/include/R_ext/Error.h,void R_ShowMessage(const char *s);
function,Rf_error,src/include/R_ext/Error.h,"NORET void Rf_error(const char *, ...) R_PRINTF_FORMAT(1, 2);"
function,Rf_warning,src/include/R_ext/Error.h,"void Rf_warning(const char *, ...) R_PRINTF_FORMAT(1,2);"
function,UNIMPLEMENTED,src/include/R_ext/Error.h,NORET void UNIMPLEMENTED(const char *);
function,WrongArgCount,src/include/R_ext/Error.h,NORET void WrongArgCount(const char *);
function,elif,src/include/R_ext/Error.h,"extern ""C"" { #endif #if defined NORET #elif (defined(__STDC_VERSION__) && __STDC_VERSION__ >= 202301L) # define NORET [[noreturn]] #elif defined(__STDC_VERSION__) && __STDC_VERSION__ >= 201102L # define NORET _Noreturn #elif defined(__GNUC__) && __GNUC__ >= 3 # define NORET __attribute__((noreturn)) #else # define NORET #endif #ifdef  __cplusplus [[noreturn]] void Rf_error(const char *, ...) R_PRINTF_FORMAT(1, 2);"
function,R_GetX11Image,src/include/R_ext/GetX11Image.h,"extern ""C"" { #endif Rboolean R_GetX11Image(int d, void *pximage, int *pwidth, int *pheight);"
function,AdobeSymbol2utf8,src/include/R_ext/GraphicsDevice.h,"extern void *AdobeSymbol2utf8(char*out, const char *in, size_t nwork, Rboolean usePUA);"
function,NewFrameConfirm,src/include/R_ext/GraphicsDevice.h,void NewFrameConfirm(pDevDesc);
function,NoDevices,src/include/R_ext/GraphicsDevice.h,int NoDevices(void);
function,NumDevices,src/include/R_ext/GraphicsDevice.h,int NumDevices(void);
function,R_CheckDeviceAvailable,src/include/R_ext/GraphicsDevice.h,void R_CheckDeviceAvailable(void);
function,R_CheckDeviceAvailableBool,src/include/R_ext/GraphicsDevice.h,Rboolean R_CheckDeviceAvailableBool(void);
function,Rboolean,src/include/R_ext/GraphicsDevice.h,Rboolean (*newFrameConfirm)();
function,Rf_onintr,src/include/R_ext/GraphicsDevice.h,extern void Rf_onintr(void);
function,Rf_ucstoutf8,src/include/R_ext/GraphicsDevice.h,"extern size_t Rf_ucstoutf8(char *s, const unsigned int c);"
function,SEXP,src/include/R_ext/GraphicsDevice.h,SEXP (*capabilities)();
function,curDevice,src/include/R_ext/GraphicsDevice.h,int curDevice(void);
function,doIdle,src/include/R_ext/GraphicsDevice.h,void doIdle(pDevDesc dd);
function,doKeybd,src/include/R_ext/GraphicsDevice.h,"void doKeybd(pDevDesc dd, R_KeyName rkey, const char *keyname);"
function,doMouseEvent,src/include/R_ext/GraphicsDevice.h,"void doMouseEvent(pDevDesc dd, R_MouseEvent event, int buttons, double x, double y);"
function,doesIdle,src/include/R_ext/GraphicsDevice.h,Rboolean doesIdle(pDevDesc dd);
function,double,src/include/R_ext/GraphicsDevice.h,double (*strWidthUTF8)();
function,int,src/include/R_ext/GraphicsDevice.h,int (*holdflush)();
function,killDevice,src/include/R_ext/GraphicsDevice.h,void killDevice(int);
function,ndevNumber,src/include/R_ext/GraphicsDevice.h,int ndevNumber(pDevDesc );
function,nextDevice,src/include/R_ext/GraphicsDevice.h,int nextDevice(int);
function,prevDevice,src/include/R_ext/GraphicsDevice.h,int prevDevice(int);
function,selectDevice,src/include/R_ext/GraphicsDevice.h,int selectDevice(int);
function,utf8ToLatin1AdobeSymbol2utf8,src/include/R_ext/GraphicsDevice.h,"const char* utf8ToLatin1AdobeSymbol2utf8(const char *in, Rboolean usePUA);"
function,utf8Toutf8NoPUA,src/include/R_ext/GraphicsDevice.h,const char* utf8Toutf8NoPUA(const char *in);
function,utf8toAdobeSymbol,src/include/R_ext/GraphicsDevice.h,"extern int utf8toAdobeSymbol(char* out, const char *in);"
function,void,src/include/R_ext/GraphicsDevice.h,void (*glyph)();
variable,DevDesc,src/include/R_ext/GraphicsDevice.h,"extern ""C"" { #endif typedef struct _DevDesc DevDesc;"
variable,R_interrupts_pending,src/include/R_ext/GraphicsDevice.h,LibExtern int R_interrupts_pending;
variable,R_interrupts_suspended,src/include/R_ext/GraphicsDevice.h,LibExtern Rboolean R_interrupts_suspended;
variable,mbcslocale,src/include/R_ext/GraphicsDevice.h,LibExtern Rboolean mbcslocale;
function,CreateAtVector,src/include/R_ext/GraphicsEngine.h,"SEXP CreateAtVector(double axp[], const double usr[], int nint, Rboolean logflag);"
function,GAxisPars,src/include/R_ext/GraphicsEngine.h,"void GAxisPars(double *min, double *max, int *n, Rboolean log, int axis);"
function,GECap,src/include/R_ext/GraphicsEngine.h,SEXP GECap(pGEDevDesc dd);
function,GECircle,src/include/R_ext/GraphicsEngine.h,"void GECircle(double x, double y, double radius, const pGEcontext gc, pGEDevDesc dd);"
function,GEExpressionHeight,src/include/R_ext/GraphicsEngine.h,"double GEExpressionHeight(SEXP expr, const pGEcontext gc, pGEDevDesc dd);"
function,GEExpressionMetric,src/include/R_ext/GraphicsEngine.h,"void GEExpressionMetric(SEXP expr, const pGEcontext gc, double *ascent, double *descent, double *width, pGEDevDesc dd);"
function,GEExpressionWidth,src/include/R_ext/GraphicsEngine.h,"double GEExpressionWidth(SEXP expr, const pGEcontext gc, pGEDevDesc dd);"
function,GEFill,src/include/R_ext/GraphicsEngine.h,"void GEFill(SEXP path, int rule, const pGEcontext gc, pGEDevDesc dd);"
function,GEFillStroke,src/include/R_ext/GraphicsEngine.h,"void GEFillStroke(SEXP path, int rule, const pGEcontext gc, pGEDevDesc dd);"
function,GEGlyph,src/include/R_ext/GraphicsEngine.h,"void GEGlyph(int n, int *glyphs, double *x, double *y, SEXP font, double size, int colour, double rot, pGEDevDesc dd);"
function,GELine,src/include/R_ext/GraphicsEngine.h,"void GELine(double x1, double y1, double x2, double y2, const pGEcontext gc, pGEDevDesc dd);"
function,GEMathText,src/include/R_ext/GraphicsEngine.h,"void GEMathText(double x, double y, SEXP expr, double xc, double yc, double rot, const pGEcontext gc, pGEDevDesc dd);"
function,GEMetricInfo,src/include/R_ext/GraphicsEngine.h,"void GEMetricInfo(int c, const pGEcontext gc, double *ascent, double *descent, double *width, pGEDevDesc dd);"
function,GEMode,src/include/R_ext/GraphicsEngine.h,"void GEMode(int mode, pGEDevDesc dd);"
function,GENewPage,src/include/R_ext/GraphicsEngine.h,"void GENewPage(const pGEcontext gc, pGEDevDesc dd);"
function,GEPath,src/include/R_ext/GraphicsEngine.h,"void GEPath(double *x, double *y, int npoly, int *nper, Rboolean winding, const pGEcontext gc, pGEDevDesc dd);"
function,GEPolygon,src/include/R_ext/GraphicsEngine.h,"void GEPolygon(int n, double *x, double *y, const pGEcontext gc, pGEDevDesc dd);"
function,GEPolyline,src/include/R_ext/GraphicsEngine.h,"void GEPolyline(int n, double *x, double *y, const pGEcontext gc, pGEDevDesc dd);"
function,GEPretty,src/include/R_ext/GraphicsEngine.h,"void GEPretty(double *lo, double *up, int *ndiv);"
function,GERaster,src/include/R_ext/GraphicsEngine.h,"void GERaster(unsigned int *raster, int w, int h, double x, double y, double width, double height, double angle, Rboolean interpolate, const pGEcontext gc, pGEDevDesc dd);"
function,GERect,src/include/R_ext/GraphicsEngine.h,"void GERect(double x0, double y0, double x1, double y1, const pGEcontext gc, pGEDevDesc dd);"
function,GESetClip,src/include/R_ext/GraphicsEngine.h,"void GESetClip(double x1, double y1, double x2, double y2, pGEDevDesc dd);"
function,GEStrHeight,src/include/R_ext/GraphicsEngine.h,"double GEStrHeight(const char *str, cetype_t enc, const pGEcontext gc, pGEDevDesc dd);"
function,GEStrMetric,src/include/R_ext/GraphicsEngine.h,"void GEStrMetric(const char *str, cetype_t enc, const pGEcontext gc, double *ascent, double *descent, double *width, pGEDevDesc dd);"
function,GEStrWidth,src/include/R_ext/GraphicsEngine.h,"double GEStrWidth(const char *str, cetype_t enc, const pGEcontext gc, pGEDevDesc dd);"
function,GEStroke,src/include/R_ext/GraphicsEngine.h,"void GEStroke(SEXP path, const pGEcontext gc, pGEDevDesc dd);"
function,GESymbol,src/include/R_ext/GraphicsEngine.h,"void GESymbol(double x, double y, int pch, double size, const pGEcontext gc, pGEDevDesc dd);"
function,GEText,src/include/R_ext/GraphicsEngine.h,"void GEText(double x, double y, const char * const str, cetype_t enc, double xc, double yc, double rot, const pGEcontext gc, pGEDevDesc dd);"
function,GEXspline,src/include/R_ext/GraphicsEngine.h,"SEXP GEXspline(int n, double *x, double *y, double *s, Rboolean open, Rboolean repEnds, Rboolean draw, const pGEcontext gc, pGEDevDesc dd);"
function,GE_LENDget,src/include/R_ext/GraphicsEngine.h,SEXP GE_LENDget(R_GE_lineend lend);
function,GE_LENDpar,src/include/R_ext/GraphicsEngine.h,"R_GE_lineend GE_LENDpar(SEXP value, int ind);"
function,GE_LJOINget,src/include/R_ext/GraphicsEngine.h,SEXP GE_LJOINget(R_GE_linejoin ljoin);
function,GE_LJOINpar,src/include/R_ext/GraphicsEngine.h,"R_GE_linejoin GE_LJOINpar(SEXP value, int ind);"
function,GE_LTYget,src/include/R_ext/GraphicsEngine.h,SEXP GE_LTYget(unsigned int);
function,GE_LTYpar,src/include/R_ext/GraphicsEngine.h,"unsigned int GE_LTYpar(SEXP, int);"
function,GEaddDevice,src/include/R_ext/GraphicsEngine.h,void GEaddDevice(pGEDevDesc);
function,GEaddDevice2,src/include/R_ext/GraphicsEngine.h,"void GEaddDevice2(pGEDevDesc, const char *);"
function,GEaddDevice2f,src/include/R_ext/GraphicsEngine.h,"void GEaddDevice2f(pGEDevDesc, const char *, const char *);"
function,GEcheckState,src/include/R_ext/GraphicsEngine.h,Rboolean GEcheckState(pGEDevDesc dd);
function,GEcontourLines,src/include/R_ext/GraphicsEngine.h,"SEXP GEcontourLines(double *x, int nx, double *y, int ny, double *z, double *levels, int nl);"
function,GEcopyDisplayList,src/include/R_ext/GraphicsEngine.h,void GEcopyDisplayList(int fromDevice);
function,GEcreateDD,src/include/R_ext/GraphicsEngine.h,pDevDesc GEcreateDD(void);
function,GEcreateDevDesc,src/include/R_ext/GraphicsEngine.h,pGEDevDesc GEcreateDevDesc(pDevDesc dev);
function,GEcreateSnapshot,src/include/R_ext/GraphicsEngine.h,SEXP GEcreateSnapshot(pGEDevDesc dd);
function,GEcurrentDevice,src/include/R_ext/GraphicsEngine.h,pGEDevDesc GEcurrentDevice(void);
function,GEdestroyDevDesc,src/include/R_ext/GraphicsEngine.h,void GEdestroyDevDesc(pGEDevDesc dd);
function,GEdeviceDirty,src/include/R_ext/GraphicsEngine.h,Rboolean GEdeviceDirty(pGEDevDesc dd);
function,GEdeviceNumber,src/include/R_ext/GraphicsEngine.h,int GEdeviceNumber(pGEDevDesc);
function,GEdirtyDevice,src/include/R_ext/GraphicsEngine.h,void GEdirtyDevice(pGEDevDesc dd);
function,GEfreeDD,src/include/R_ext/GraphicsEngine.h,void GEfreeDD(pDevDesc dd);
function,GEgetDevice,src/include/R_ext/GraphicsEngine.h,pGEDevDesc GEgetDevice(int);
function,GEhandleEvent,src/include/R_ext/GraphicsEngine.h,"SEXP GEhandleEvent(GEevent event, pDevDesc dev, SEXP data);"
function,GEinitDisplayList,src/include/R_ext/GraphicsEngine.h,void GEinitDisplayList(pGEDevDesc dd);
function,GEkillDevice,src/include/R_ext/GraphicsEngine.h,void GEkillDevice(pGEDevDesc);
function,GEonExit,src/include/R_ext/GraphicsEngine.h,void GEonExit(void);
function,GEplayDisplayList,src/include/R_ext/GraphicsEngine.h,void GEplayDisplayList(pGEDevDesc dd);
function,GEplaySnapshot,src/include/R_ext/GraphicsEngine.h,"void GEplaySnapshot(SEXP snapshot, pGEDevDesc dd);"
function,GErecordGraphicOperation,src/include/R_ext/GraphicsEngine.h,"void GErecordGraphicOperation(SEXP op, SEXP args, pGEDevDesc dd);"
function,GErecording,src/include/R_ext/GraphicsEngine.h,"Rboolean GErecording(SEXP call, pGEDevDesc dd);"
function,GEregisterSystem,src/include/R_ext/GraphicsEngine.h,"void GEregisterSystem(GEcallback callback, int *systemRegisterIndex);"
function,GEregisterWithDevice,src/include/R_ext/GraphicsEngine.h,void GEregisterWithDevice(pGEDevDesc dd);
function,GEstring_to_pch,src/include/R_ext/GraphicsEngine.h,int GEstring_to_pch(SEXP pch);
function,GEsystemState,src/include/R_ext/GraphicsEngine.h,"void *GEsystemState(pGEDevDesc dd, int index);"
function,GEunregisterSystem,src/include/R_ext/GraphicsEngine.h,void GEunregisterSystem(int registerIndex);
function,RGBpar,src/include/R_ext/GraphicsEngine.h,"rcolor RGBpar(SEXP, int);"
function,RGBpar3,src/include/R_ext/GraphicsEngine.h,"rcolor RGBpar3(SEXP, int, rcolor);"
function,R_GE_checkVersionOrDie,src/include/R_ext/GraphicsEngine.h,void R_GE_checkVersionOrDie(int version);
function,R_GE_clipPathFillRule,src/include/R_ext/GraphicsEngine.h,int R_GE_clipPathFillRule(SEXP path);
function,R_GE_getVersion,src/include/R_ext/GraphicsEngine.h,"extern ""C"" { #endif #define R_GE_definitions 13 #define R_GE_deviceClip  14 #define R_GE_group       15 #define R_GE_glyphs      16 #define R_GE_fontVar     17 #define R_GE_version R_GE_fontVar int R_GE_getVersion(void);"
function,R_GE_glyphColour,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphColour(SEXP glyphs);
function,R_GE_glyphFont,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphFont(SEXP glyphs);
function,R_GE_glyphFontFamily,src/include/R_ext/GraphicsEngine.h,const char* R_GE_glyphFontFamily(SEXP glyphFont);
function,R_GE_glyphFontFile,src/include/R_ext/GraphicsEngine.h,const char* R_GE_glyphFontFile(SEXP glyphFont);
function,R_GE_glyphFontIndex,src/include/R_ext/GraphicsEngine.h,int R_GE_glyphFontIndex(SEXP glyphFont);
function,R_GE_glyphFontNumVar,src/include/R_ext/GraphicsEngine.h,int R_GE_glyphFontNumVar(SEXP glyphFont);
function,R_GE_glyphFontPSname,src/include/R_ext/GraphicsEngine.h,const char* R_GE_glyphFontPSname(SEXP glyphFont);
function,R_GE_glyphFontStyle,src/include/R_ext/GraphicsEngine.h,int R_GE_glyphFontStyle(SEXP glyphFont);
function,R_GE_glyphFontVarAxis,src/include/R_ext/GraphicsEngine.h,"const char* R_GE_glyphFontVarAxis(SEXP glyphFont, int index);"
function,R_GE_glyphFontVarFormatted,src/include/R_ext/GraphicsEngine.h,"const char* R_GE_glyphFontVarFormatted(SEXP glyphFont, int index);"
function,R_GE_glyphFontVarValue,src/include/R_ext/GraphicsEngine.h,"double R_GE_glyphFontVarValue(SEXP glyphFont, int index);"
function,R_GE_glyphFontWeight,src/include/R_ext/GraphicsEngine.h,double R_GE_glyphFontWeight(SEXP glyphFont);
function,R_GE_glyphID,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphID(SEXP glyphs);
function,R_GE_glyphInfoFonts,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphInfoFonts(SEXP glyphInfo);
function,R_GE_glyphInfoGlyphs,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphInfoGlyphs(SEXP glyphInfo);
function,R_GE_glyphRotation,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphRotation(SEXP glyphs);
function,R_GE_glyphSize,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphSize(SEXP glyphs);
function,R_GE_glyphX,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphX(SEXP glyphs);
function,R_GE_glyphY,src/include/R_ext/GraphicsEngine.h,SEXP R_GE_glyphY(SEXP glyphs);
function,R_GE_hasGlyphRotation,src/include/R_ext/GraphicsEngine.h,Rboolean R_GE_hasGlyphRotation(SEXP glyphs);
function,R_GE_isPattern,src/include/R_ext/GraphicsEngine.h,Rboolean R_GE_isPattern(SEXP x);
function,R_GE_linearGradientColour,src/include/R_ext/GraphicsEngine.h,"rcolor R_GE_linearGradientColour(SEXP pattern, int i);"
function,R_GE_linearGradientExtend,src/include/R_ext/GraphicsEngine.h,int R_GE_linearGradientExtend(SEXP pattern);
function,R_GE_linearGradientNumStops,src/include/R_ext/GraphicsEngine.h,int R_GE_linearGradientNumStops(SEXP pattern);
function,R_GE_linearGradientStop,src/include/R_ext/GraphicsEngine.h,"double R_GE_linearGradientStop(SEXP pattern, int i);"
function,R_GE_linearGradientX1,src/include/R_ext/GraphicsEngine.h,double R_GE_linearGradientX1(SEXP pattern);
function,R_GE_linearGradientX2,src/include/R_ext/GraphicsEngine.h,double R_GE_linearGradientX2(SEXP pattern);
function,R_GE_linearGradientY1,src/include/R_ext/GraphicsEngine.h,double R_GE_linearGradientY1(SEXP pattern);
function,R_GE_linearGradientY2,src/include/R_ext/GraphicsEngine.h,double R_GE_linearGradientY2(SEXP pattern);
function,R_GE_maskType,src/include/R_ext/GraphicsEngine.h,int R_GE_maskType(SEXP mask);
function,R_GE_patternType,src/include/R_ext/GraphicsEngine.h,int R_GE_patternType(SEXP pattern);
function,R_GE_radialGradientCX1,src/include/R_ext/GraphicsEngine.h,double R_GE_radialGradientCX1(SEXP pattern);
function,R_GE_radialGradientCX2,src/include/R_ext/GraphicsEngine.h,double R_GE_radialGradientCX2(SEXP pattern);
function,R_GE_radialGradientCY1,src/include/R_ext/GraphicsEngine.h,double R_GE_radialGradientCY1(SEXP pattern);
function,R_GE_radialGradientCY2,src/include/R_ext/GraphicsEngine.h,double R_GE_radialGradientCY2(SEXP pattern);
function,R_GE_radialGradientColour,src/include/R_ext/GraphicsEngine.h,"rcolor R_GE_radialGradientColour(SEXP pattern, int i);"
function,R_GE_radialGradientExtend,src/include/R_ext/GraphicsEngine.h,int R_GE_radialGradientExtend(SEXP pattern);
function,R_GE_radialGradientNumStops,src/include/R_ext/GraphicsEngine.h,int R_GE_radialGradientNumStops(SEXP pattern);
function,R_GE_radialGradientR1,src/include/R_ext/GraphicsEngine.h,double R_GE_radialGradientR1(SEXP pattern);
function,R_GE_radialGradientR2,src/include/R_ext/GraphicsEngine.h,double R_GE_radialGradientR2(SEXP pattern);
function,R_GE_radialGradientStop,src/include/R_ext/GraphicsEngine.h,"double R_GE_radialGradientStop(SEXP pattern, int i);"
function,R_GE_rasterInterpolate,src/include/R_ext/GraphicsEngine.h,"void R_GE_rasterInterpolate(unsigned int *sraster, int sw, int sh, unsigned int *draster, int dw, int dh);"
function,R_GE_rasterResizeForRotation,src/include/R_ext/GraphicsEngine.h,"void R_GE_rasterResizeForRotation(unsigned int *sraster, int w, int h, unsigned int *newRaster, int wnew, int hnew, const pGEcontext gc);"
function,R_GE_rasterRotate,src/include/R_ext/GraphicsEngine.h,"void R_GE_rasterRotate(unsigned int *sraster, int w, int h, double angle, unsigned int *draster, const pGEcontext gc, Rboolean perPixelAlpha);"
function,R_GE_rasterRotatedOffset,src/include/R_ext/GraphicsEngine.h,"void R_GE_rasterRotatedOffset(int w, int h, double angle, int botleft, double *xoff, double *yoff);"
function,R_GE_rasterRotatedSize,src/include/R_ext/GraphicsEngine.h,"void R_GE_rasterRotatedSize(int w, int h, double angle, int *wnew, int *hnew);"
function,R_GE_rasterScale,src/include/R_ext/GraphicsEngine.h,"void R_GE_rasterScale(unsigned int *sraster, int sw, int sh, unsigned int *draster, int dw, int dh);"
function,R_GE_str2col,src/include/R_ext/GraphicsEngine.h,rcolor R_GE_str2col(const char *s);
