name,opcode,plan_executor,legacy_evaluator,integrated_executor
Arg,VECTOR_COMPLEX,0,1,1
C_tryCatchHelper,RUNTIME,0,0,0
Conj,VECTOR_COMPLEX,0,1,1
Cstack_info,SYSTEM,0,0,0
Date2POSIXlt,DATETIME,0,0,0
Encoding,CHARACTER,0,0,0
Exec,LANGUAGE,0,0,0
Im,VECTOR_COMPLEX,0,1,1
La_chol,MATRIX,0,0,0
La_chol2inv,MATRIX,0,0,0
La_dgecon,MATRIX,0,0,0
La_dlange,MATRIX,0,0,0
La_dtrcon,MATRIX,0,0,0
La_dtrcon3,MATRIX,0,0,0
La_library,MATRIX,0,0,0
La_qr,MATRIX,0,0,0
La_qr_cmplx,MATRIX,0,0,0
La_rg,MATRIX,0,0,0
La_rg_cmplx,MATRIX,0,0,0
La_rs,MATRIX,0,0,0
La_rs_cmplx,MATRIX,0,0,0
La_solve,MATRIX,0,0,0
La_solve_cmplx,MATRIX,0,0,0
La_svd,MATRIX,0,0,0
La_svd_cmplx,MATRIX,0,0,0
La_version,MATRIX,0,0,0
La_zgecon,MATRIX,0,0,0
La_zlange,MATRIX,0,0,0
La_ztrcon,MATRIX,0,0,0
La_ztrcon3,MATRIX,0,0,0
Mod,VECTOR_COMPLEX,0,1,1
NextMethod,LANGUAGE,0,1,1
POSIXlt2Date,DATETIME,0,0,0
R.home,SYSTEM,0,0,0
RNGkind,RANDOM,1,0,1
Re,VECTOR_COMPLEX,0,1,1
Recall,LANGUAGE,0,0,0
Sys.chmod,SYSTEM,0,0,0
Sys.getenv,ENVIRONMENT,1,0,1
Sys.getlocale,ENVIRONMENT,0,0,0
Sys.getpid,ENVIRONMENT,0,0,0
Sys.glob,SYSTEM,0,0,0
Sys.info,RUNTIME,0,0,0
Sys.localeconv,SYSTEM,0,0,0
Sys.readlink,IO,0,0,0
Sys.setenv,ENVIRONMENT,1,0,1
Sys.setlocale,SYSTEM,0,0,0
Sys.sleep,SYSTEM,0,0,0
Sys.time,RUNTIME,0,0,0
Sys.umask,SYSTEM,0,0,0
Sys.unsetenv,ENVIRONMENT,1,0,1
Sys.which,RUNTIME,0,0,0
Tailcall,LANGUAGE,0,0,0
UseMethod,LANGUAGE,0,1,1
Version,RUNTIME,0,0,0
[,SUBSET,1,0,1
[<-,REPLACE,1,0,1
[[,SUBSET,1,0,1
[[<-,REPLACE,1,0,1
^,OPS_BINARY,1,0,1
abbreviate,CHARACTER,0,0,0
abs,VECTOR_UNARY,1,0,1
acos,VECTOR_UNARY,1,0,1
acosh,VECTOR_UNARY,1,0,1
activeBindingFunction,ENVIRONMENT,0,0,0
address,RUNTIME,0,0,0
adist,RUNTIME,0,0,0
agrep,CHARACTER,0,0,0
agrepl,CHARACTER,0,0,0
all,VECTOR_REDUCE,1,0,1
all.names,ATTRIBUTE,0,0,0
altrep_class,ATTRIBUTE,0,0,0
any,VECTOR_REDUCE,1,0,1
anyDuplicated,MATCH,0,0,0
anyNA,MISSINGNESS,1,0,1
aperm,MATRIX,1,0,1
aregexec,RUNTIME,0,0,0
args,RUNTIME,0,0,0
array,MATRIX,1,0,1
as.POSIXct,DATETIME,0,0,0
as.POSIXlt,DATETIME,0,0,0
as.call,RUNTIME,0,0,0
as.character,COERCE,1,0,1
as.complex,COERCE,1,0,1
as.double,COERCE,1,0,1
as.environment,ENVIRONMENT,0,0,0
as.function.default,RUNTIME,0,0,0
as.integer,COERCE,1,0,1
as.logical,COERCE,1,0,1
as.numeric,COERCE,1,0,1
as.raw,COERCE,1,0,1
as.vector,COERCE,1,0,1
asCharacterFactor,CHARACTER,0,0,0
asin,VECTOR_UNARY,1,0,1
asinh,VECTOR_UNARY,1,0,1
asplit,MATRIX,1,0,1
assign,ENVIRONMENT,1,0,1
atan,VECTOR_UNARY,1,0,1
atan2,NUMERIC_BINARY,1,0,1
atanh,VECTOR_UNARY,1,0,1
attach,ENVIRONMENT,0,0,0
attr,ATTRIBUTE,1,0,1
attr<-,REPLACE,1,0,1
attributes,ATTRIBUTE,1,0,1
attributes<-,REPLACE,1,0,1
backsolve,MATRIX,1,0,1
balancePOSIXlt,DATETIME,0,0,0
baseenv,ENVIRONMENT,1,0,1
basename,RUNTIME,0,1,1
bcClose,LANGUAGE,0,0,0
bcVersion,LANGUAGE,0,0,0
bcprofcounts,LANGUAGE,0,0,0
bcprofstart,LANGUAGE,0,0,0
bcprofstop,LANGUAGE,0,0,0
besselI,VECTOR_TERNARY,0,0,0
besselJ,NUMERIC_BINARY,0,0,0
besselK,VECTOR_TERNARY,0,0,0
besselY,NUMERIC_BINARY,0,0,0
beta,NUMERIC_BINARY,1,0,1
bincode,RUNTIME,0,0,0
bindingIsActive,ENVIRONMENT,0,0,0
bindingIsLocked,ENVIRONMENT,0,0,0
bindtextdomain,RUNTIME,0,0,0
bitwiseAnd,BITWISE,1,0,1
bitwiseNot,BITWISE,1,0,1
bitwiseOr,BITWISE,1,0,1
bitwiseShiftL,BITWISE,1,0,1
bitwiseShiftR,BITWISE,1,0,1
bitwiseXor,BITWISE,1,0,1
body,RUNTIME,0,0,0
bodyCode,RUNTIME,0,0,0
break,LANGUAGE,0,1,1
browser,LANGUAGE,0,0,0
browserCondition,RUNTIME,0,0,0
browserSetDebug,RUNTIME,0,0,0
browserText,RUNTIME,0,0,0
builtins,ENVIRONMENT,0,0,0
bzfile,IO,0,0,0
call,LANGUAGE,0,0,0
capabilities,SYSTEM,0,0,0
capabilitiesX11,SYSTEM,0,0,0
cat,RUNTIME,1,0,1
cbind,LANGUAGE,0,0,0
ceiling,VECTOR_UNARY,1,0,1
charToRaw,CHARACTER,0,1,1
charmatch,CHARACTER,0,0,0
chartr,CHARACTER,0,0,0
choose,NUMERIC_BINARY,1,0,1
class,ATTRIBUTE,0,1,1
class<-,REPLACE,1,0,1
clearPushBack,IO,0,0,0
close,IO,0,0,0
col,MATRIX,1,0,1
colMeans,VECTOR_REDUCE,1,0,1
colSums,VECTOR_REDUCE,1,0,1
commandArgs,RUNTIME,0,0,0
comment,ATTRIBUTE,1,0,1
comment<-,REPLACE,1,0,1
compareNumericVersion,RUNTIME,0,0,0
compilePKGS,LANGUAGE,0,0,0
compilerVersion,SYSTEM,0,0,0
complex,VECTOR_COMPLEX,0,0,0
copyDFattr,ATTRIBUTE,0,0,0
cos,VECTOR_UNARY,1,0,1
cosh,VECTOR_UNARY,1,0,1
cospi,VECTOR_UNARY,1,0,1
crc64,RUNTIME,0,0,0
crossprod,MATRIX,1,0,1
cummax,VECTOR_SCAN,1,0,1
cummin,VECTOR_SCAN,1,0,1
cumprod,VECTOR_SCAN,1,0,1
cumsum,VECTOR_SCAN,1,0,1
cumvar,VECTOR_SCAN,1,0,1
curlDownload,IO,0,0,0
curlGetHeaders,ENVIRONMENT,0,0,0
curlVersion,IO,0,0,0
date,SYSTEM,0,0,0
debug,RUNTIME,0,0,0
debugOnOff,RUNTIME,0,0,0
debugonce,RUNTIME,0,0,0
declare,LANGUAGE,0,0,0
delayedAssign,RUNTIME,0,0,0
delayedBindingEnvironment,ENVIRONMENT,0,0,0
delayedBindingExpression,ENVIRONMENT,0,0,0
deparse,RUNTIME,1,0,1
deparseRd,RUNTIME,0,0,0
det_ge_real,MATRIX,0,0,0
detach,ENVIRONMENT,0,0,0
diag,MATRIX,1,0,1
digamma,VECTOR_UNARY,1,0,1
dim,ATTRIBUTE,1,0,1
dim<-,REPLACE,1,0,1
dimnames,ATTRIBUTE,1,0,1
dimnames<-,REPLACE,1,0,1
dir.create,IO,0,1,1
dir.exists,IO,0,1,1
dirname,IO,0,1,1
disassemble,LANGUAGE,0,0,0
do.call,RUNTIME,0,0,0
dotDelayedEnvironment,ENVIRONMENT,0,0,0
dotDelayedExpression,ENVIRONMENT,0,0,0
dotForcedExpression,ENVIRONMENT,0,0,0
dotsElt,ENVIRONMENT,0,0,0
dotsExist,ENVIRONMENT,0,0,0
dotsLength,ENVIRONMENT,0,0,0
dotsNames,ATTRIBUTE,0,0,0
dput,RUNTIME,0,0,0
drop,MATRIX,1,0,1
dump,RUNTIME,0,0,0
duplicated,MATCH,0,1,1
dyn.load,SERIALIZE,0,0,0
dyn.unload,SERIALIZE,0,0,0
eSoftVersion,SYSTEM,0,0,0
eapply,LANGUAGE,0,0,0
emptyenv,ENVIRONMENT,1,0,1
enableJIT,LANGUAGE,0,0,0
enc2native,RUNTIME,0,0,0
enc2utf8,RUNTIME,0,0,0
encodeString,CHARACTER,0,0,0
endsWith,CHARACTER,0,1,1
env.profile,ENVIRONMENT,0,0,0
env2list,ENVIRONMENT,0,0,0
environment,ENVIRONMENT,1,0,1
environment<-,REPLACE,0,0,0
environmentIsLocked,ENVIRONMENT,0,0,0
environmentName,ENVIRONMENT,0,0,0
eval,LANGUAGE,0,1,1
exists,ENVIRONMENT,1,0,1
exp,VECTOR_UNARY,1,0,1
expm1,VECTOR_UNARY,1,0,1
expression,LANGUAGE,0,0,0
fifo,IO,0,0,0
file,IO,0,0,0
file.access,IO,0,0,0
file.append,IO,0,0,0
file.choose,IO,0,0,0
file.copy,IO,0,0,0
file.create,IO,0,0,0
file.exists,IO,0,1,1
file.info,IO,0,0,0
file.link,IO,0,0,0
file.path,IO,1,0,1
file.remove,ENVIRONMENT,0,0,0
file.rename,IO,0,0,0
file.show,IO,0,0,0
file.symlink,IO,0,0,0
findInterval,RUNTIME,0,0,0
floor,VECTOR_UNARY,1,0,1
flush,IO,0,0,0
for,LANGUAGE,0,1,1
forceAndCall,LANGUAGE,0,0,0
forcedBindingExpression,ENVIRONMENT,0,0,0
formals,RUNTIME,0,0,0
format,RUNTIME,1,0,1
format.POSIXlt,DATETIME,0,0,0
format.info,RUNTIME,0,0,0
formatC,RUNTIME,0,0,0
function,LANGUAGE,0,1,1
gamma,VECTOR_UNARY,1,0,1
gc,RUNTIME,0,0,0
gc.time,RUNTIME,0,0,0
gcinfo,RUNTIME,0,0,0
gctorture,RUNTIME,0,0,0
gctorture2,RUNTIME,0,0,0
get,ENVIRONMENT,1,0,1
get0,ENVIRONMENT,1,0,1
getAllConnections,ENVIRONMENT,0,0,0
getBindingType,ENVIRONMENT,0,0,0
getConnection,ENVIRONMENT,0,0,0
getDotType,ENVIRONMENT,0,0,0
getLoadedDLLs,ENVIRONMENT,0,0,0
getNamespaceRegistry,ENVIRONMENT,0,0,0
getNamespaceValue,ENVIRONMENT,0,0,0
getOption,ENVIRONMENT,1,0,1
getRegisteredNamespace,ENVIRONMENT,0,0,0
getRegisteredRoutines,ENVIRONMENT,0,0,0
getSymbolInfo,ENVIRONMENT,0,0,0
getVarsFromFrame,ENVIRONMENT,0,0,0
getconst,ENVIRONMENT,0,0,0
geterrmessage,ENVIRONMENT,0,0,0
gettext,ENVIRONMENT,1,0,1
getwd,ENVIRONMENT,0,1,1
globalenv,ENVIRONMENT,1,0,1
gregexpr,RUNTIME,0,0,0
grep,CHARACTER,1,0,1
grepRaw,CHARACTER,0,0,0
grepl,CHARACTER,1,0,1
growconst,LANGUAGE,0,0,0
gsub,CHARACTER,1,0,1
gzcon,IO,0,0,0
gzfile,IO,0,0,0
iconv,SYSTEM,0,0,0
icuGetCollate,ENVIRONMENT,0,0,0
icuSetCollate,RUNTIME,0,0,0
identical,RUNTIME,1,0,1
if,LANGUAGE,0,1,1
importIntoEnv,ENVIRONMENT,0,0,0
inherits,RUNTIME,0,1,1
inspect,RUNTIME,0,0,0
intToBits,BITWISE,0,0,0
intToUtf8,CHARACTER,0,0,0
interactive,SYSTEM,0,0,0
internalsID,RUNTIME,0,0,0
interruptsSuspended,RUNTIME,0,0,0
invisible,RUNTIME,1,0,1
is.array,TYPE_PREDICATE,1,0,1
is.atomic,TYPE_PREDICATE,1,0,1
is.builtin.internal,LANGUAGE,0,0,0
is.call,TYPE_PREDICATE,1,0,1
is.character,TYPE_PREDICATE,1,0,1
is.complex,TYPE_PREDICATE,1,0,1
is.double,TYPE_PREDICATE,1,0,1
is.environment,TYPE_PREDICATE,1,0,1
is.expression,TYPE_PREDICATE,1,0,1
is.finite,NUMERIC_PREDICATE,1,0,1
is.function,TYPE_PREDICATE,1,0,1
is.infinite,NUMERIC_PREDICATE,1,0,1
is.integer,TYPE_PREDICATE,1,0,1
is.language,TYPE_PREDICATE,1,0,1
is.list,TYPE_PREDICATE,1,0,1
is.loaded,SERIALIZE,0,0,0
is.logical,TYPE_PREDICATE,1,0,1
is.matrix,TYPE_PREDICATE,1,0,1
is.na,MISSINGNESS,1,0,1
is.name,TYPE_PREDICATE,1,0,1
is.nan,NUMERIC_PREDICATE,1,0,1
is.null,TYPE_PREDICATE,1,0,1
is.numeric,TYPE_PREDICATE,1,0,1
is.object,TYPE_PREDICATE,1,0,1
is.pairlist,TYPE_PREDICATE,1,0,1
is.raw,TYPE_PREDICATE,1,0,1
is.recursive,TYPE_PREDICATE,1,0,1
is.single,TYPE_PREDICATE,1,0,1
is.symbol,TYPE_PREDICATE,1,0,1
is.unsorted,ORDER,0,0,0
is.vector,RUNTIME,0,0,0
isIncomplete,IO,0,0,0
isNamespaceEnv,ENVIRONMENT,0,0,0
isOpen,IO,0,0,0
isRegisteredNamespace,ENVIRONMENT,0,0,0
isS4,TYPE_PREDICATE,1,0,1
isSeekable,IO,0,0,0
isatty,IO,0,0,0
isdebugged,RUNTIME,0,0,0
islistfactor,MAP,0,0,0
l10n_info,SYSTEM,0,0,0
lapply,LANGUAGE,0,1,1
lazyLoadDBfetch,SERIALIZE,0,0,0
lazyLoadDBflush,SERIALIZE,0,0,0
lazyLoadDBinsertValue,SERIALIZE,0,0,0
lbeta,NUMERIC_BINARY,1,0,1
lchoose,NUMERIC_BINARY,1,0,1
length,MATRIX,1,0,1
length<-,REPLACE,0,0,0
lengths,MATRIX,1,0,1
levels<-,REPLACE,1,0,1
lgamma,VECTOR_UNARY,1,0,1
list,RUNTIME,0,1,1
list.dirs,IO,0,0,0
list.files,IO,0,1,1
list2env,ENVIRONMENT,0,0,0
load,SERIALIZE,0,0,0
load.from.file,IO,0,0,0
loadFromConn2,SERIALIZE,0,0,0
loadInfoFromConn2,SERIALIZE,0,0,0
lockBinding,ENVIRONMENT,0,0,0
lockEnvironment,ENVIRONMENT,0,0,0
log,VECTOR_UNARY,1,0,1
log10,VECTOR_UNARY,1,0,1
log1p,VECTOR_UNARY,1,0,1
log2,VECTOR_UNARY,1,0,1
ls,ENVIRONMENT,0,0,0
machine,RUNTIME,0,0,0
make.names,ATTRIBUTE,0,0,0
make.unique,MATCH,0,0,0
makeActiveBinding,ENVIRONMENT,0,0,0
makeLazy,RUNTIME,0,0,0
mapply,RUNTIME,0,0,0
match,MATCH,0,1,1
match.call,MATCH,0,0,0
matrix,MATRIX,1,0,1
max,VECTOR_REDUCE,1,0,1
max.col,MATRIX,1,0,1
mean,VECTOR_REDUCE,1,0,1
mem.maxNSize,RUNTIME,0,0,0
mem.maxVSize,RUNTIME,0,0,0
memCompress,IO,0,0,0
memDecompress,IO,0,0,0
memory.profile,IO,0,0,0
merge,RUNTIME,0,0,0
mget,ENVIRONMENT,0,0,0
min,VECTOR_REDUCE,1,0,1
missing,LANGUAGE,0,1,1
mkCode,LANGUAGE,0,0,0
mkUnbound,ENVIRONMENT,0,0,0
mkjunction,SYSTEM,0,0,0
mmap_file,IO,0,0,0
munmap_file,IO,0,0,0
named,RUNTIME,0,0,0
names,ATTRIBUTE,1,0,1
names<-,REPLACE,1,0,1
nargs,RUNTIME,0,0,0
nchar,CHARACTER,0,1,1
new.env,ENVIRONMENT,1,0,1
next,LANGUAGE,0,1,1
ngettext,ENVIRONMENT,1,0,1
normalizePath,RUNTIME,0,1,1
numToBits,BITWISE,0,0,0
numToInts,RUNTIME,0,0,0
nzchar,CHARACTER,1,0,1
objsxp,RUNTIME,0,0,0
oldClass,ATTRIBUTE,1,0,1
oldClass<-,REPLACE,1,0,1
on.exit,LANGUAGE,0,0,0
open,IO,0,0,0
options,RUNTIME,1,0,1
order,ORDER,0,1,1
packBits,BITWISE,0,0,0
parent.env,ENVIRONMENT,1,0,1
parent.env<-,REPLACE,0,0,0
parent.frame,RUNTIME,0,0,0
parse,RUNTIME,0,0,0
parseLatex,RUNTIME,0,0,0
parse_Rd,RUNTIME,0,0,0
paste,CHARACTER,0,1,1
paste0,CHARACTER,0,1,1
path.expand,SYSTEM,0,0,0
pcre_config,RUNTIME,0,0,0
pipe,IO,0,0,0
pmatch,MATCH,0,0,0
pmax,VECTOR_REDUCE,1,0,1
pmin,VECTOR_REDUCE,1,0,1
polyroot,VECTOR_COMPLEX,0,0,0
pos.to.env,ENVIRONMENT,0,0,0
pretty,RUNTIME,0,0,0
print.default,RUNTIME,0,0,0
printDeferredWarnings,RUNTIME,0,0,0
prmatrix,MATRIX,1,0,1
proc.time,SYSTEM,0,0,0
prod,VECTOR_REDUCE,1,0,1
psigamma,NUMERIC_BINARY,0,0,0
psort,ORDER,0,0,0
pushBack,IO,0,0,0
pushBackLength,IO,0,0,0
putconst,LANGUAGE,0,0,0
qr_coef_cmplx,MATRIX,0,0,0
qr_coef_real,MATRIX,0,0,0
qr_qy_cmplx,MATRIX,0,0,0
qr_qy_real,MATRIX,0,0,0
qsort,RUNTIME,0,0,0
quit,RUNTIME,0,0,0
quote,LANGUAGE,0,1,1
radixsort,RUNTIME,0,0,0
range,RUNTIME,0,0,0
rank,ORDER,0,1,1
rapply,MAP,0,0,0
rawConnection,IO,0,0,0
rawConnectionValue,IO,0,0,0
rawShift,BITWISE,0,0,0
rawToBits,BITWISE,0,0,0
rawToChar,CHARACTER,0,1,1
rbeta,RANDOM,1,0,1
rbind,LANGUAGE,0,0,0
rbinom,RANDOM,1,0,1
rcauchy,RANDOM,1,0,1
rchisq,RANDOM,1,0,1
readBin,IO,0,0,0
readChar,IO,0,0,0
readDCF,IO,0,0,0
readLines,IO,0,1,1
readRenviron,ENVIRONMENT,0,0,0
readline,IO,0,0,0
recordGraphics,RUNTIME,0,0,0
refcnt,RUNTIME,0,0,0
reg.finalizer,RUNTIME,0,0,0
regexec,RUNTIME,0,0,0
regexpr,RUNTIME,0,0,0
registerNamespace,ENVIRONMENT,0,0,0
remove,ENVIRONMENT,0,0,0
rep,LANGUAGE,0,1,1
rep.int,RUNTIME,1,0,1
rep_len,RUNTIME,1,0,1
repeat,LANGUAGE,0,1,1
retracemem,RUNTIME,0,0,0
return,LANGUAGE,0,1,1
returnValue,LANGUAGE,0,0,0
rexp,RANDOM,1,0,1
rf,RANDOM,1,0,1
rgamma,RANDOM,1,0,1
rgeom,RANDOM,1,0,1
rhyper,RANDOM,1,0,1
rlnorm,RANDOM,1,0,1
rlogis,RANDOM,1,0,1
rnbinom,RANDOM,1,0,1
rnbinom_mu,RANDOM,1,0,1
rnchisq,RANDOM,1,0,1
rnorm,RANDOM,1,0,1
round,VECTOR_UNARY,1,0,1
row,MATRIX,1,0,1
rowMeans,VECTOR_REDUCE,1,0,1
rowSums,VECTOR_REDUCE,1,0,1
rowsum_df,VECTOR_REDUCE,0,0,0
rowsum_matrix,VECTOR_REDUCE,0,0,0
rpois,RANDOM,1,0,1
rsignrank,RANDOM,1,0,1
rt,RANDOM,1,0,1
runif,RANDOM,1,0,1
rweibull,RANDOM,1,0,1
rwilcox,RANDOM,1,0,1
sample,RANDOM,1,0,1
sample2,RANDOM,1,0,1
save,SERIALIZE,0,0,0
save.to.file,IO,0,0,0
saveToConn,SERIALIZE,0,0,0
scan,RUNTIME,0,0,0
search,ENVIRONMENT,0,0,0
seek,IO,0,0,0
seq.int,RUNTIME,0,1,1
seq_along,RUNTIME,0,1,1
seq_len,RUNTIME,1,0,1
sequence,RUNTIME,0,0,0
serialize,SERIALIZE,0,1,1
serializeInfoFromConn,SERIALIZE,0,0,0
serializeToConn,SERIALIZE,0,0,0
serializeb,SERIALIZE,0,0,0
serverSocket,IO,0,0,0
set.seed,RANDOM,1,0,1
setEncoding,CHARACTER,0,0,0
setFileTime,IO,0,0,0
setMaxNumMathThreads,IO,0,0,0
setNumMathThreads,IO,0,0,0
setS4Object,RUNTIME,0,0,0
setSessionTimeLimit,SYSTEM,0,0,0
setTimeLimit,SYSTEM,0,0,0
seterrmessage,RUNTIME,0,0,0
setwd,RUNTIME,0,1,1
shell.exec,RUNTIME,0,0,0
shortRowNames,ATTRIBUTE,0,0,0
sign,VECTOR_UNARY,1,0,1
signif,VECTOR_UNARY,1,0,1
sin,VECTOR_UNARY,1,0,1
sinh,VECTOR_UNARY,1,0,1
sink,IO,0,0,0
sink.number,IO,0,0,0
sinpi,VECTOR_UNARY,1,0,1
sockSelect,IO,0,0,0
socketAccept,IO,0,0,0
socketConnection,IO,0,0,0
socketTimeout,IO,0,0,0
sort,ORDER,0,1,1
sorted_fpass,ORDER,0,0,0
split,RUNTIME,0,0,0
sprintf,RUNTIME,1,0,1
sqrt,VECTOR_UNARY,1,0,1
standardGeneric,RUNTIME,0,0,0
startsWith,CHARACTER,0,1,1
stderr,IO,0,0,0
stdin,IO,0,0,0
stdout,IO,0,0,0
stop,RUNTIME,0,1,1
storage.mode<-,REPLACE,0,0,0
str2expression,CHARACTER,0,0,0
str2lang,CHARACTER,0,0,0
strptime,CHARACTER,0,0,0
strrep,CHARACTER,0,0,0
strsplit,CHARACTER,1,0,1
strtoi,CHARACTER,0,0,0
strtrim,CHARACTER,0,0,0
sub,CHARACTER,1,0,1
substitute,CHARACTER,0,0,0
substr,CHARACTER,0,1,1
substr<-,REPLACE,0,0,0
sum,VECTOR_REDUCE,1,0,1
summary.connection,IO,0,0,0
switch,LANGUAGE,1,0,1
sys.call,RUNTIME,0,0,0
sys.calls,RUNTIME,0,0,0
sys.frame,RUNTIME,0,0,0
sys.frames,RUNTIME,0,0,0
sys.function,RUNTIME,0,0,0
sys.nframe,RUNTIME,0,0,0
sys.on.exit,RUNTIME,0,0,0
sys.parent,RUNTIME,0,0,0
sys.parents,RUNTIME,0,0,0
system,RUNTIME,0,0,0
t.default,MATRIX,1,0,1
tabulate,RUNTIME,0,0,0
tan,VECTOR_UNARY,1,0,1
tanh,VECTOR_UNARY,1,0,1
tanpi,VECTOR_UNARY,1,0,1
tcrossprod,MATRIX,1,0,1
tempdir,IO,0,0,0
tempfile,IO,0,0,0
textConnection,IO,0,0,0
textConnectionValue,IO,0,0,0
tolower,CHARACTER,0,1,1
topenv,ENVIRONMENT,0,0,0
toupper,CHARACTER,0,1,1
traceOnOff,RUNTIME,0,0,0
traceback,RUNTIME,0,0,0
tracemem,RUNTIME,0,0,0
trigamma,VECTOR_UNARY,1,0,1
trunc,VECTOR_UNARY,1,0,1
truncate,IO,0,0,0
tryWrap,RUNTIME,0,0,0
typeof,RUNTIME,0,1,1
tzone_name,RUNTIME,0,0,0
unCfillPOSIXlt,DATETIME,0,0,0
unclass,ATTRIBUTE,1,0,1
undebug,RUNTIME,0,0,0
unique,MATCH,0,1,1
unlink,SYSTEM,0,0,0
unlist,COMBINE,1,0,1
unlockBinding,ENVIRONMENT,0,0,0
unregisterNamespace,ENVIRONMENT,0,0,0
unserialize,SERIALIZE,0,1,1
unserializeFromConn,SERIALIZE,0,0,0
untracemem,RUNTIME,0,0,0
unz,IO,0,0,0
url,IO,0,0,0
utf8ToInt,CHARACTER,0,0,0
validEnc,RUNTIME,0,0,0
validUTF8,CHARACTER,0,0,0
vapply,LANGUAGE,1,0,1
vector,RUNTIME,1,0,1
vhash,MATCH,0,0,0
warning,RUNTIME,0,1,1
which,RUNTIME,0,1,1
which.max,RUNTIME,0,0,0
which.min,RUNTIME,0,0,0
while,LANGUAGE,0,1,1
withVisible,LANGUAGE,0,0,0
wrap_meta,RUNTIME,0,0,0
writeBin,IO,0,0,0
writeChar,IO,0,0,0
writeLines,IO,0,1,1
xtfrm,ORDER,0,0,0
xzfile,IO,0,0,0
zstdfile,IO,0,0,0
{,LANGUAGE,0,1,1
|,OPS_BINARY,1,0,1
||,SHORT_CIRCUIT,0,1,1
~,LANGUAGE,0,0,0
