primitive,c_entry,offset,arity,kernel,effect_policy,pure_go_contract,verification_vector,completion_action
assign,do_assign,0,4,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
list2env,do_list2env,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
remove,do_remove,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
duplicated,do_duplicated,0,4,matching,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
unique,do_duplicated,1,4,matching,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
anyDuplicated,do_duplicated,2,3,matching,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
anyNA,do_anyNA,0,-1,missingness,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
which,do_which,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
which.min,do_first_min,0,1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
pmin,do_pmin,0,-1,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
pmax,do_pmin,1,-1,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
which.max,do_first_min,1,1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
match,do_match,0,4,matching,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
pmatch,do_pmatch,0,4,matching,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
charmatch,do_charmatch,0,3,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
match.call,do_matchcall,0,4,matching,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
crossprod,do_matprod,1,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
tcrossprod,do_matprod,2,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
asplit,do_asplit,0,8,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
lengths,do_lengths,0,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
sequence,do_sequence,0,4,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
vhash,do_vhash,0,-1,matching,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
attach,do_attach,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
detach,do_detach,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
search,do_search,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
setFileTime,do_setFileTime,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
round,do_Math2,10001,-1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
signif,do_Math2,10004,-1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
log,do_log,10003,-1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
log10,do_log1arg,10010,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
log2,do_log1arg,10002,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
abs,do_abs,6,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
floor,do_math1,1,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
ceiling,do_math1,2,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sqrt,do_math1,3,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sign,do_math1,4,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
trunc,do_trunc,5,-1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
exp,do_math1,10,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
expm1,do_math1,11,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
log1p,do_math1,12,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cos,do_math1,20,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sin,do_math1,21,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
tan,do_math1,22,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
acos,do_math1,23,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
asin,do_math1,24,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
atan,do_math1,25,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cosh,do_math1,30,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sinh,do_math1,31,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
tanh,do_math1,32,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
acosh,do_math1,33,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
asinh,do_math1,34,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
atanh,do_math1,35,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
lgamma,do_math1,40,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
gamma,do_math1,41,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
digamma,do_math1,42,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
trigamma,do_math1,43,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cospi,do_math1,47,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sinpi,do_math1,48,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
tanpi,do_math1,49,1,numeric-unary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
atan2,do_math2,0,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
lbeta,do_math2,2,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
beta,do_math2,3,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
lchoose,do_math2,4,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
choose,do_math2,5,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
besselJ,do_math2,24,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
besselY,do_math2,25,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
psigamma,do_math2,26,2,numeric-binary,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Re,do_cmathfuns,1,1,numeric-complex,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Im,do_cmathfuns,2,1,numeric-complex,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Mod,do_cmathfuns,3,1,numeric-complex,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Arg,do_cmathfuns,4,1,numeric-complex,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Conj,do_cmathfuns,5,1,numeric-complex,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
besselI,do_math3,43,3,numeric-ternary,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
besselK,do_math3,44,3,numeric-ternary,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rchisq,do_random1,0,2,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rexp,do_random1,1,2,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rgeom,do_random1,2,2,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rpois,do_random1,3,2,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rt,do_random1,4,2,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rsignrank,do_random1,5,2,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rbeta,do_random2,0,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rbinom,do_random2,1,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rcauchy,do_random2,2,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rf,do_random2,3,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rgamma,do_random2,4,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rlnorm,do_random2,5,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rlogis,do_random2,6,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rnbinom,do_random2,7,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rnbinom_mu,do_random2,13,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rnchisq,do_random2,12,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rnorm,do_random2,8,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
runif,do_random2,9,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rweibull,do_random2,10,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rwilcox,do_random2,11,3,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rhyper,do_random3,0,4,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
sample,do_sample,0,4,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
sample2,do_sample2,0,2,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
RNGkind,do_RNGkind,0,4,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
set.seed,do_setseed,0,5,random,rng-state,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
sum,do_summary,0,-1,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
min,do_summary,2,-1,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
max,do_summary,3,-1,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
prod,do_summary,4,-1,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
mean,do_summary,1,1,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
range,do_range,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cumsum,do_cum,1,1,cumulative,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cumprod,do_cum,2,1,cumulative,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cummax,do_cum,3,1,cumulative,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cummin,do_cum,4,1,cumulative,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cumvar,do_cum,5,1,cumulative,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
