batch,c_entry,go_file,status,benötigte_helper
batch_094.c,do_filelink,do_filelink.go,translated_family,filePrimitive
batch_095.c,do_fileremove,do_fileremove.go,translated_family,filePrimitive
batch_096.c,do_filerename,do_filerename.go,translated_family,filePrimitive
batch_097.c,do_fileshow,do_fileshow.go,translated_family,filePrimitive
batch_098.c,do_filesymlink,do_filesymlink.go,translated_family,filePrimitive
batch_099.c,do_findinterval,do_findinterval.go,translated,findIntervalImpl
batch_100.c,do_flush,do_flush.go,translated_family,connectionPrimitive
batch_101.c,do_forceAndCall,do_forceAndCall.go,translated,
batch_102.c,do_forcedBindingExpr,do_forcedBindingExpr.go,partial_evaluator,envPrimitive
batch_103.c,do_formals,do_formals.go,translated,
batch_104.c,do_gc,do_gc.go,translated,runtime.go
batch_105.c,do_gcinfo,do_gcinfo.go,translated,runtime.go
batch_106.c,do_gctime,do_gctime.go,translated,runtime.go
batch_107.c,do_gctorture,do_gctorture.go,translated,runtime.go
batch_108.c,do_gctorture2,do_gctorture2.go,translated,runtime.go
batch_109.c,do_getDllTable,do_getDllTable.go,constraint_error_path,unsupported
batch_110.c,do_getNSRegistry,do_getNSRegistry.go,partial_evaluator,envPrimitive
batch_111.c,do_getNSValue,do_getNSValue.go,partial_evaluator,envPrimitive
batch_112.c,do_getRegNS,do_getRegNS.go,partial_evaluator,envPrimitive
batch_113.c,do_getRegisteredRoutines,do_getRegisteredRoutines.go,constraint_error_path,unsupported
batch_114.c,do_getRestart,do_getRestart.go,translated,runtime.go
batch_115.c,do_getSymbolInfo,do_getSymbolInfo.go,constraint_error_path,unsupported
batch_116.c,do_getVarsFromFrame,do_getVarsFromFrame.go,partial_format,serializePrimitive
batch_117.c,do_getallconnections,do_getallconnections.go,translated_family,connectionPrimitive
batch_118.c,do_getconnection,do_getconnection.go,translated_family,connectionPrimitive
batch_119.c,do_getconst,do_getconst.go,missing_helper,EvaluatorContext
batch_120.c,do_geterrmessage,do_geterrmessage.go,translated,runtime.go
batch_121.c,do_getlocale,do_getlocale.go,translated_family,systemPrimitive
batch_122.c,do_grepraw,do_grepraw.go,translated,grepRawImpl
batch_123.c,do_growconst,do_growconst.go,missing_helper,EvaluatorContext
batch_124.c,do_gzcon,do_gzcon.go,partial_constraint,connectionPrimitive
batch_125.c,do_gzfile,do_gzfile.go,partial_constraint,connectionPrimitive
batch_126.c,do_importIntoEnv,do_importIntoEnv.go,partial_evaluator,envPrimitive
batch_127.c,do_inspect,do_inspect.go,missing_helper,see missing_helpers.md
batch_128.c,do_intToBits,do_intToBits.go,translated,intToBitsImpl
batch_129.c,do_intToUtf8,do_intToUtf8.go,translated,intToUtf8Impl
batch_130.c,do_internalsID,do_internalsID.go,translated,
batch_131.c,do_interruptsSuspended,do_interruptsSuspended.go,translated_family,systemPrimitive
batch_132.c,do_invokeRestart,do_invokeRestart.go,missing_helper,EvaluatorContext
batch_133.c,do_isNSEnv,do_isNSEnv.go,partial_evaluator,envPrimitive
batch_134.c,do_is_builtin_internal,do_is_builtin_internal.go,missing_helper,EvaluatorContext
batch_135.c,do_isatty,do_isatty.go,translated_family,systemPrimitive
batch_136.c,do_isincomplete,do_isincomplete.go,translated_family,connectionPrimitive
batch_137.c,do_islistfactor,do_islistfactor.go,translated,isListFactorImpl
batch_138.c,do_isloaded,do_isloaded.go,constraint_error_path,unsupported
batch_139.c,do_isopen,do_isopen.go,translated_family,connectionPrimitive
batch_140.c,do_isseekable,do_isseekable.go,translated_family,connectionPrimitive
batch_141.c,do_isvector,do_isvector.go,translated,isVectorImpl
batch_142.c,do_lapack,do_lapack.go,missing_helper,PureGoLAPACK
batch_143.c,do_lazyLoadDBfetch,do_lazyLoadDBfetch.go,partial_format,serializePrimitive
batch_144.c,do_lazyLoadDBflush,do_lazyLoadDBflush.go,partial_format,serializePrimitive
batch_145.c,do_lazyLoadDBinsertValue,do_lazyLoadDBinsertValue.go,partial_format,serializePrimitive
batch_146.c,do_lengthgets,do_lengthgets.go,translated,lengthGetsImpl
batch_147.c,do_list2env,do_list2env.go,partial_evaluator,envPrimitive
batch_148.c,do_listdirs,do_listdirs.go,translated_family,filePrimitive
batch_149.c,do_load,do_load.go,missing_helper,see missing_helpers.md
batch_150.c,do_loadFromConn2,do_loadFromConn2.go,missing_helper,see missing_helpers.md
batch_151.c,do_loadfile,do_loadfile.go,missing_helper,see missing_helpers.md
batch_152.c,do_lockBnd,do_lockBnd.go,partial_evaluator,envPrimitive
batch_153.c,do_lockEnv,do_lockEnv.go,partial_evaluator,envPrimitive
batch_154.c,do_ls,do_ls.go,partial_evaluator,envPrimitive
batch_155.c,do_machine,do_machine.go,translated_family,systemPrimitive
batch_156.c,do_makelazy,do_makelazy.go,missing_helper,see missing_helpers.md
batch_157.c,do_makenames,do_makenames.go,translated,makeNamesImpl
batch_158.c,do_mapply,do_mapply.go,translated,runtime.go
batch_159.c,do_matchcall,do_matchcall.go,missing_helper,see missing_helpers.md
batch_160.c,do_math2,do_math2.go,translated,math2Impl
batch_161.c,do_math3,do_math3.go,translated,math3Impl
batch_162.c,do_maxNSize,do_maxNSize.go,translated_family,systemPrimitive
batch_163.c,do_maxVSize,do_maxVSize.go,translated_family,systemPrimitive
batch_164.c,do_memCompress,do_memCompress.go,translated_family,connectionPrimitive
batch_165.c,do_memDecompress,do_memDecompress.go,translated_family,connectionPrimitive
batch_166.c,do_memoryprofile,do_memoryprofile.go,translated,runtime.go
batch_167.c,do_merge,do_merge.go,translated,mergeImpl
batch_168.c,do_mget,do_mget.go,partial_evaluator,envPrimitive
batch_169.c,do_mkActiveBnd,do_mkActiveBnd.go,partial_evaluator,envPrimitive
batch_170.c,do_mkUnbound,do_mkUnbound.go,partial_evaluator,envPrimitive
batch_171.c,do_mkcode,do_mkcode.go,missing_helper,EvaluatorContext
batch_172.c,do_mkjunction,do_mkjunction.go,translated_family,filePrimitive
batch_173.c,do_mmap_file,do_mmap_file.go,missing_helper,see missing_helpers.md
batch_174.c,do_munmap_file,do_munmap_file.go,missing_helper,see missing_helpers.md
batch_175.c,do_named,do_named.go,translated,
batch_176.c,do_nargs,do_nargs.go,translated,
batch_177.c,do_numToBits,do_numToBits.go,translated,numToBitsImpl
batch_178.c,do_numToInts,do_numToInts.go,translated,numToIntsImpl
batch_179.c,do_objsxp,do_objsxp.go,translated,
batch_180.c,do_onexit,do_onexit.go,missing_helper,see missing_helpers.md
batch_181.c,do_open,do_open.go,translated_family,connectionPrimitive
batch_182.c,do_packBits,do_packBits.go,translated,packBitsImpl
batch_183.c,do_parentenvgets,do_parentenvgets.go,missing_helper,see missing_helpers.md
batch_184.c,do_parentframe,do_parentframe.go,translated,
batch_185.c,do_pcre_config,do_pcre_config.go,translated,runtime.go
batch_186.c,do_pipe,do_pipe.go,partial_constraint,connectionPrimitive
batch_187.c,do_polyroot,do_polyroot.go,translated,polyrootImpl
batch_188.c,do_pos2env,do_pos2env.go,partial_evaluator,envPrimitive
batch_189.c,do_pretty,do_pretty.go,translated,runtime.go
batch_190.c,do_printDeferredWarnings,do_printDeferredWarnings.go,translated,runtime.go
batch_191.c,do_printdefault,do_printdefault.go,translated,runtime.go
batch_192.c,do_pushback,do_pushback.go,translated_family,connectionPrimitive
batch_193.c,do_pushbacklength,do_pushbacklength.go,translated_family,connectionPrimitive
batch_194.c,do_putconst,do_putconst.go,missing_helper,EvaluatorContext
batch_195.c,do_qsort,do_qsort.go,translated,qsortImpl
batch_196.c,do_quit,do_quit.go,translated,runtime.go
batch_197.c,do_radixsort,do_radixsort.go,translated,qsortImpl
batch_198.c,do_range,do_range.go,translated,rangeImpl
batch_199.c,do_rapply,do_rapply.go,translated,runtime.go
batch_200.c,do_rawShift,do_rawShift.go,translated,rawShiftImpl
batch_201.c,do_rawToBits,do_rawToBits.go,translated,rawToBitsImpl
batch_202.c,do_rawconnection,do_rawconnection.go,translated_family,connectionPrimitive
batch_203.c,do_rawconvalue,do_rawconvalue.go,translated_family,connectionPrimitive
batch_204.c,do_readDCF,do_readDCF.go,translated,runtime.go
batch_205.c,do_readEnviron,do_readEnviron.go,translated,runtime.go
batch_206.c,do_readbin,do_readbin.go,translated_family,connectionPrimitive
batch_207.c,do_readchar,do_readchar.go,translated_family,connectionPrimitive
batch_208.c,do_readlink,do_readlink.go,translated_family,filePrimitive
batch_209.c,do_readln,do_readln.go,missing_helper,see missing_helpers.md
batch_210.c,do_recall,do_recall.go,missing_helper,EvaluatorContext
batch_211.c,do_recordGraphics,do_recordGraphics.go,missing_helper,see missing_helpers.md
batch_212.c,do_refcnt,do_refcnt.go,translated,
batch_213.c,do_regFinaliz,do_regFinaliz.go,missing_helper,see missing_helpers.md
batch_214.c,do_regNS,do_regNS.go,partial_evaluator,envPrimitive
batch_215.c,do_regexec,do_regexec.go,translated,runtime.go
batch_216.c,do_regexpr,do_regexpr.go,translated,runtime.go
batch_217.c,do_remove,do_remove.go,partial_evaluator,envPrimitive
batch_218.c,do_resetCondHands,do_resetCondHands.go,translated,runtime.go
batch_219.c,do_retracemem,do_retracemem.go,translated,runtime.go
batch_220.c,do_returnValue,do_returnValue.go,translated,
batch_221.c,do_save,do_save.go,missing_helper,see missing_helpers.md
batch_222.c,do_saveToConn,do_saveToConn.go,missing_helper,see missing_helpers.md
batch_223.c,do_savefile,do_savefile.go,missing_helper,see missing_helpers.md
batch_224.c,do_scan,do_scan.go,missing_helper,see missing_helpers.md
batch_225.c,do_search,do_search.go,partial_evaluator,envPrimitive
batch_226.c,do_seek,do_seek.go,translated_family,connectionPrimitive
batch_227.c,do_sequence,do_sequence.go,translated,sequenceImpl
batch_228.c,do_serialize,do_serialize.go,partial_format,serializePrimitive
batch_229.c,do_serializeToConn,do_serializeToConn.go,partial_format,serializePrimitive
batch_230.c,do_serversocket,do_serversocket.go,partial_constraint,connectionPrimitive
batch_231.c,do_setFileTime,do_setFileTime.go,translated_family,filePrimitive
batch_232.c,do_setS4Object,do_setS4Object.go,translated,runtime.go
batch_233.c,do_seterrmessage,do_seterrmessage.go,translated,runtime.go
batch_234.c,do_setmaxnumthreads,do_setmaxnumthreads.go,translated_family,systemPrimitive
batch_235.c,do_setnumthreads,do_setnumthreads.go,translated_family,systemPrimitive
batch_236.c,do_shellexec,do_shellexec.go,missing_helper,see missing_helpers.md
batch_237.c,do_shortRowNames,do_shortRowNames.go,translated,shortRowNamesImpl
batch_238.c,do_signalCondition,do_signalCondition.go,missing_helper,EvaluatorContext
batch_239.c,do_sink,do_sink.go,translated_family,connectionPrimitive
batch_240.c,do_sinknumber,do_sinknumber.go,translated_family,connectionPrimitive
batch_241.c,do_sockconn,do_sockconn.go,partial_constraint,connectionPrimitive
batch_242.c,do_sockselect,do_sockselect.go,translated_family,connectionPrimitive
batch_243.c,do_socktimeout,do_socktimeout.go,translated_family,connectionPrimitive
batch_244.c,do_split,do_split.go,translated,splitImpl
batch_245.c,do_standardGeneric,do_standardGeneric.go,missing_helper,EvaluatorContext
batch_246.c,do_stderr,do_stderr.go,translated_family,connectionPrimitive
batch_247.c,do_stdin,do_stdin.go,translated_family,connectionPrimitive
batch_248.c,do_stdout,do_stdout.go,translated_family,connectionPrimitive
batch_249.c,do_storage_mode,do_storage_mode.go,translated,
batch_250.c,do_strptime,do_strptime.go,translated,runtime.go
batch_251.c,do_substitute,do_substitute.go,missing_helper,see missing_helpers.md
batch_252.c,do_substrgets,do_substrgets.go,translated,substrGetsImpl
batch_253.c,do_sumconnection,do_sumconnection.go,translated_family,connectionPrimitive
batch_254.c,do_sys,do_sys.go,missing_helper,EvaluatorContext
batch_255.c,do_sysbrowser,do_sysbrowser.go,missing_helper,EvaluatorContext
batch_256.c,do_sysgetpid,do_sysgetpid.go,translated_family,systemPrimitive
batch_257.c,do_sysinfo,do_sysinfo.go,translated_family,systemPrimitive
batch_258.c,do_system,do_system.go,translated_family,runtime.go
batch_259.c,do_systime,do_systime.go,translated_family,systemPrimitive
batch_260.c,do_sysumask,do_sysumask.go,translated_family,systemPrimitive
batch_261.c,do_syswhich,do_syswhich.go,translated_family,systemPrimitive
batch_262.c,do_tabulate,do_tabulate.go,translated,tabulateImpl
batch_263.c,do_tailcall,do_tailcall.go,missing_helper,EvaluatorContext
batch_264.c,do_tempdir,do_tempdir.go,translated_family,systemPrimitive
batch_265.c,do_tempfile,do_tempfile.go,translated_family,systemPrimitive
batch_266.c,do_textconnection,do_textconnection.go,translated_family,connectionPrimitive
batch_267.c,do_textconvalue,do_textconvalue.go,translated_family,connectionPrimitive
batch_268.c,do_topenv,do_topenv.go,translated,
batch_269.c,do_trace,do_trace.go,translated,runtime.go
batch_270.c,do_traceOnOff,do_traceOnOff.go,translated,runtime.go
batch_271.c,do_traceback,do_traceback.go,missing_helper,EvaluatorContext
batch_272.c,do_tracemem,do_tracemem.go,translated,runtime.go
batch_273.c,do_truncate,do_truncate.go,translated_family,connectionPrimitive
batch_274.c,do_tryCatchHelper,do_tryCatchHelper.go,missing_helper,EvaluatorContext
batch_275.c,do_tryWrap,do_tryWrap.go,missing_helper,see missing_helpers.md
batch_276.c,do_tzone_name,do_tzone_name.go,translated_family,systemPrimitive
batch_277.c,do_unregNS,do_unregNS.go,partial_evaluator,envPrimitive
batch_278.c,do_unserializeFromConn,do_unserializeFromConn.go,partial_format,serializePrimitive
batch_279.c,do_untracemem,do_untracemem.go,translated,runtime.go
batch_280.c,do_unz,do_unz.go,partial_constraint,connectionPrimitive
batch_281.c,do_url,do_url.go,partial_constraint,connectionPrimitive
batch_282.c,do_utf8ToInt,do_utf8ToInt.go,translated,utf8ToIntImpl
batch_283.c,do_validEnc,do_validEnc.go,translated,validUTF8Impl
batch_284.c,do_validUTF8,do_validUTF8.go,translated,validUTF8Impl
batch_285.c,do_version,do_version.go,translated_family,systemPrimitive
batch_286.c,do_withVisible,do_withVisible.go,translated,
batch_287.c,do_wrap_meta,do_wrap_meta.go,missing_helper,see missing_helpers.md
batch_288.c,do_writebin,do_writebin.go,translated_family,connectionPrimitive
batch_289.c,do_writechar,do_writechar.go,translated_family,connectionPrimitive
